number,department,municipality,area,location,address,electoralLoad
00134,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. LEMPIRA,031-BO. SIERRA PINA,338
00135,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. LEMPIRA,031-BO. SIERRA PINA,338
00136,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. LEMPIRA,031-BO. SIERRA PINA,338
00137,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. LEMPIRA,031-BO. SIERRA PINA,337
00138,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. LEMPIRA,031-BO. SIERRA PINA,337
00139,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. LEMPIRA,031-BO. SIERRA PINA,337
00140,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. LEMPIRA,031-BO. SIERRA PINA,337
00141,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. LEMPIRA,031-BO. SIERRA PINA,337
00142,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. LEMPIRA,031-BO. SIERRA PINA,337
00143,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. LEMPIRA,031-BO. SIERRA PINA,337
00144,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. LEMPIRA,031-BO. SIERRA PINA,337
00145,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. JUAN PINEDA CARIAS,033-COL. PIZATTY,351
00146,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. JUAN PINEDA CARIAS,033-COL. PIZATTY,351
00147,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. JUAN PINEDA CARIAS,033-COL. PIZATTY,351
00148,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. JUAN PINEDA CARIAS,033-COL. PIZATTY,351
00149,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. JUAN PINEDA CARIAS,033-COL. PIZATTY,351
00150,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. JUAN PINEDA CARIAS,033-COL. PIZATTY,351
00151,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. JUAN PINEDA CARIAS,033-COL. PIZATTY,351
00152,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. JUAN PINEDA CARIAS,033-COL. PIZATTY,351
00153,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. JUAN PINEDA CARIAS,033-COL. PIZATTY,351
00154,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. JUAN PINEDA CARIAS,033-COL. PIZATTY,351
00155,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. JUAN PINEDA CARIAS,033-COL. PIZATTY,351
00156,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. JUAN PINEDA CARIAS,033-COL. PIZATTY,351
00157,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. JUAN PINEDA CARIAS,033-COL. PIZATTY,351
00158,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. JUAN PINEDA CARIAS,033-COL. PIZATTY,351
00159,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. JUAN PINEDA CARIAS,033-COL. PIZATTY,351
00160,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. JUAN PINEDA CARIAS,033-COL. PIZATTY,351
00161,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. JUAN PINEDA CARIAS,033-COL. PIZATTY,351
00162,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. JUAN PINEDA CARIAS,033-COL. PIZATTY,351
00163,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. JUAN PINEDA CARIAS,033-COL. PIZATTY,351
00164,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. JUAN PINEDA CARIAS,033-COL. PIZATTY,350
00165,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. JUAN PINEDA CARIAS,033-COL. PIZATTY,350
00166,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. JUAN PINEDA CARIAS,033-COL. PIZATTY,350
00167,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. JUAN PINEDA CARIAS,033-COL. PIZATTY,350
00168,01-ATLANTIDA,01-LA CEIBA,1-URBANA,INST. JUAN PINEDA CARIAS,033-COL. PIZATTY,350
00169,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. 10 DE SEPTIEMBRE,034-COL. LA PRADERA,329
00170,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. 10 DE SEPTIEMBRE,034-COL. LA PRADERA,328
00171,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. 10 DE SEPTIEMBRE,034-COL. LA PRADERA,328
00172,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. 10 DE SEPTIEMBRE,034-COL. LA PRADERA,328
00173,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. 10 DE SEPTIEMBRE,034-COL. LA PRADERA,328
00174,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. 10 DE SEPTIEMBRE,034-COL. LA PRADERA,328
00175,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. 10 DE SEPTIEMBRE,034-COL. LA PRADERA,328
00176,01-ATLANTIDA,01-LA CEIBA,1-URBANA,ESC. 10 DE SEPTIEMBRE,034-COL. LA PRADERA,328
00177,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB. EVA BERTOT DE MAZIER,035-COL. CASA BLANCA,320
00178,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB. EVA BERTOT DE MAZIER,035-COL. CASA BLANCA,320
00179,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB. EVA BERTOT DE MAZIER,035-COL. CASA BLANCA,320
00180,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB. EVA BERTOT DE MAZIER,035-COL. CASA BLANCA,320
00181,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB. EVA BERTOT DE MAZIER,035-COL. CASA BLANCA,320
00182,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB. EVA BERTOT DE MAZIER,035-COL. CASA BLANCA,319
00183,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB CLAUDIO BARRERA,036-COL. SAN JUDAS TADEO,346
00184,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB CLAUDIO BARRERA,036-COL. SAN JUDAS TADEO,346
00185,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB CLAUDIO BARRERA,036-COL. SAN JUDAS TADEO,346
00186,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB CLAUDIO BARRERA,036-COL. SAN JUDAS TADEO,346
00187,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB CLAUDIO BARRERA,036-COL. SAN JUDAS TADEO,346
00188,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB CLAUDIO BARRERA,036-COL. SAN JUDAS TADEO,346
00189,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB CLAUDIO BARRERA,036-COL. SAN JUDAS TADEO,346
00190,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB CLAUDIO BARRERA,036-COL. SAN JUDAS TADEO,346
00191,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB CLAUDIO BARRERA,036-COL. SAN JUDAS TADEO,346
00192,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB CLAUDIO BARRERA,036-COL. SAN JUDAS TADEO,346
00193,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB CLAUDIO BARRERA,036-COL. SAN JUDAS TADEO,345
00194,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB CLAUDIO BARRERA,036-COL. SAN JUDAS TADEO,345
00195,01-ATLANTIDA,01-LA CEIBA,1-URBANA,CEB CLAUDIO BARRERA,036-COL. SAN JUDAS TADEO,345
