Código Departamento,Departamento,Código Municipio,Municipio,Área,Sector Electoral,Centro de Votación,JRV,Carga Electoral
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. PIZATTY,INST. JUAN PINEDA CARIAS,165,350
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. PIZATTY,INST. JUAN PINEDA CARIAS,166,350
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. PIZATTY,INST. JUAN PINEDA CARIAS,167,350
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. PIZATTY,INST. JUAN PINEDA CARIAS,168,350
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. LA PRADERA,ESC. 10 DE SEPTIEMBRE,169,329
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. LA PRADERA,ESC. 10 DE SEPTIEMBRE,170,328
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. LA PRADERA,ESC. 10 DE SEPTIEMBRE,171,328
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. LA PRADERA,ESC. 10 DE SEPTIEMBRE,172,328
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. LA PRADERA,ESC. 10 DE SEPTIEMBRE,173,328
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. LA PRADERA,ESC. 10 DE SEPTIEMBRE,174,328
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. LA PRADERA,ESC. 10 DE SEPTIEMBRE,175,328
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. LA PRADERA,ESC. 10 DE SEPTIEMBRE,176,328
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. CASA BLANCA,CEB. EVA BERTOT DE MAZIER,177,320
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. CASA BLANCA,CEB. EVA BERTOT DE MAZIER,178,320
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. CASA BLANCA,CEB. EVA BERTOT DE MAZIER,179,320
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. CASA BLANCA,CEB. EVA BERTOT DE MAZIER,180,320
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. CASA BLANCA,CEB. EVA BERTOT DE MAZIER,181,320
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. CASA BLANCA,CEB. EVA BERTOT DE MAZIER,182,319
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SAN JUDAS TADEO,CEB CLAUDIO BARRERA,183,346
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SAN JUDAS TADEO,CEB CLAUDIO BARRERA,184,346
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SAN JUDAS TADEO,CEB CLAUDIO BARRERA,185,346
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SAN JUDAS TADEO,CEB CLAUDIO BARRERA,186,346
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SAN JUDAS TADEO,CEB CLAUDIO BARRERA,187,346
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SAN JUDAS TADEO,CEB CLAUDIO BARRERA,188,346
1,ATLANTIDA,1.0,LA CEIBA,URBANA,COL. SAN JUDAS TADEO,CEB CLAUDIO BARRERA,189,346
